city	state	avg_daylight_hours	apparition_type	event_type	Ozone_ppb_Description	SO2_ppb_Description	CO_ppb_Description
Weirs Beach	new hampshire	11.38	Ghost Light	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Good Air Quality
Williamsville	vermont	11.35	Ghost	Death	Moderate Air Pollution	Good Air Quality	Good Air Quality
Genoa	nevada	11.5	Ghost	Supernatural Phenomenon	Poor Air Quality	Good Air Quality	Moderate Air Pollution
Honolulu	hawaii	11.8	Mist	Murder	Good Air Quality	Good Air Quality	Moderate Air Pollution
Maui	hawaii	11.8	Full-Bodied Apparition	War	Good Air Quality	Good Air Quality	Moderate Air Pollution
O'ahu	hawaii	11.8	Ghost	Supernatural Phenomenon	Good Air Quality	Good Air Quality	Moderate Air Pollution
Wahiawa	hawaii	11.8	Ghost	Supernatural Phenomenon	Good Air Quality	Good Air Quality	Moderate Air Pollution
Midvale	utah	11.43	Shadow Figure	Supernatural Phenomenon	Poor Air Quality	Good Air Quality	Good Air Quality
Spanish Fork	utah	11.43	Ghost Light	Death	Poor Air Quality	Good Air Quality	Moderate Air Pollution
Beemer	nebraska	11.43	Ghost Light	Supernatural Phenomenon	Poor Air Quality	Good Air Quality	Moderate Air Pollution
Columbus	nebraska	11.43	Ghost Light	Death	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Hastings	nebraska	11.43	Ghost	Supernatural Phenomenon	Poor Air Quality	Good Air Quality	Moderate Air Pollution
Kearney	nebraska	11.43	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Pierce	nebraska	11.43	Ghost Light	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
York	nebraska	11.43	Ghost Light	Accident	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Alpharetta	georgia	11.58	Partial Apparition	Murder	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Roswell	georgia	11.58	Ghost Light	Death	Good Air Quality	Good Air Quality	Moderate Air Pollution
Port Arthur	texas	11.63	Ghost Light	Death	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
San Antonio	texas	11.63	Shadow Figure	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Sweetwater	texas	11.63	Ghost Light	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Tyler	texas	11.63	Ghost Light	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Webb	texas	11.63	Ghost	Accident	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Austin	texas	11.63	Ghost	Death	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Big Spring	texas	11.63	Mist	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Crystal City	texas	11.63	Ghost Light	Murder	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Edinburg	texas	11.63	Ghost Light	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
El Paso	texas	11.63	Ghost Light	War	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Iowa Park	texas	11.63	Ghost Light	Accident	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Killeen	texas	11.63	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Luling	texas	11.63	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Athens	tennessee	11.55	Shadow Figure	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Cookville	tennessee	11.55	Ghost Light	Accident	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Maryville	tennessee	11.55	Mist	Death	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
McKenzie	tennessee	11.55	Ghost Light	War	Poor Air Quality	Good Air Quality	Moderate Air Pollution
Pigeon Forge	tennessee	11.55	Shadow Figure	Murder	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Shiloh	tennessee	11.55	Mist	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Sweetwater	tennessee	11.55	Ghost	Murder	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Boca Raton	florida	11.7	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Fort Pierce	florida	11.7	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Fort Pierce	florida	11.7	Mist	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Miami	florida	11.7	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Orlando	florida	11.7	Ghost	Murder	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Panama City Beach	florida	11.7	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Pembroke Pines	florida	11.7	Ghost Light	Natural Disaster	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
St. Augustine	florida	11.7	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
West Palm Beach	florida	11.7	Mist	Death	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Branson	missouri	11.48	Ghost	War	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Dunklin County	missouri	11.48	Ghost Light	War	Moderate Air Pollution	Moderate Air Pollution	Moderate Air Pollution
Kirksville	missouri	11.48	Mist	Death	Moderate Air Pollution	Moderate Air Pollution	Moderate Air Pollution
Springfield	missouri	11.48	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Moderate Air Pollution	Moderate Air Pollution
Springfield	missouri	11.48	Ghost Light	War	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
St. Joseph	missouri	11.48	Shadow Figure	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
St. Louis	missouri	11.48	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Verona	missouri	11.48	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Yankton	south dakota	11.37	Ghost Light	Supernatural Phenomenon	Poor Air Quality	Good Air Quality	Moderate Air Pollution
Derby	connecticut	11.42	Ghost Light	Death	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Lampson Corner	connecticut	11.42	Ghost	Death	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Torrington	connecticut	11.42	Mist	Murder	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Windham	connecticut	11.42	Ghost Light	Murder	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
White Bear Lake	minnesota	11.33	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Anderson	south carolina	11.58	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Good Air Quality
Spartanburg	south carolina	11.58	Mist	Supernatural Phenomenon	Good Air Quality	Good Air Quality	Good Air Quality
Warren	rhode island	0.0	Ghost Light	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Fort Carson	colorado	11.47	Full-Bodied Apparition	Murder	Poor Air Quality	Good Air Quality	Moderate Air Pollution
Niwot	colorado	11.47	Ghost Light	Murder	Poor Air Quality	Good Air Quality	Moderate Air Pollution
Silver Cliff	colorado	11.47	Ghost	Supernatural Phenomenon	Poor Air Quality	Good Air Quality	Moderate Air Pollution
